cliente,tempo_chegada,inicio_atendimento,fim_atendimento,tempo_espera
143,413.49999999999983,414.3899999999999,418.8199999999999,0.8900000000000432
144,415.1899999999998,415.4999999999998,417.08999999999975,0.30999999999994543
145,421.99999999999983,421.99999999999983,424.3199999999998,0
146,423.36999999999983,423.36999999999983,424.46999999999986,0
147,425.08999999999986,425.08999999999986,428.16999999999985,0
148,431.7599999999999,431.7599999999999,431.9899999999999,0
149,436.6799999999999,436.6799999999999,444.7199999999999,0
150,440.32999999999987,440.32999999999987,440.72999999999985,0
151,440.64999999999986,440.72999999999985,444.3899999999999,0.07999999999998408
152,448.20999999999987,448.20999999999987,450.03999999999985,0
153,451.96999999999986,451.96999999999986,456.27999999999986,0
154,472.26999999999987,472.26999999999987,488.28999999999985,0
155,472.7599999999999,472.7599999999999,477.9499999999999,0
156,478.83999999999986,478.83999999999986,479.01999999999987,0
157,479.36999999999983,479.36999999999983,482.17999999999984,0
158,482.23999999999984,482.23999999999984,485.80999999999983,0
159,482.6399999999998,485.80999999999983,489.6499999999998,3.170000000000016
160,488.2899999999998,488.28999999999985,494.0099999999999,5.684341886080802e-14
161,493.2299999999998,493.2299999999998,494.8599999999998,0
162,495.75999999999976,495.75999999999976,496.44999999999976,0
163,497.32999999999976,497.32999999999976,499.81999999999977,0
164,497.5499999999998,497.5499999999998,513.2099999999998,0
165,501.13999999999976,501.13999999999976,502.1799999999998,0
166,502.94999999999976,502.94999999999976,514.6699999999997,0
167,506.78999999999974,513.2099999999998,517.1299999999998,6.420000000000073
168,512.8299999999997,514.6699999999997,517.7199999999997,1.8400000000000318
169,523.9599999999997,523.9599999999997,534.6499999999997,0
170,529.7699999999996,529.7699999999996,532.8399999999997,0
171,529.8099999999996,532.8399999999997,539.2799999999997,3.0300000000000864
172,531.1499999999996,534.6499999999997,537.1999999999997,3.5000000000001137
173,535.0799999999996,537.1999999999997,548.9199999999997,2.1200000000001182
174,535.6399999999995,539.2799999999997,545.1399999999998,3.6400000000002137
175,537.8499999999996,545.1399999999998,551.1499999999997,7.290000000000191
176,538.0199999999995,548.9199999999997,550.9099999999997,10.900000000000205
177,538.6899999999995,550.9099999999997,557.9799999999998,12.220000000000255
178,538.7499999999994,551.1499999999997,556.1999999999997,12.400000000000318
179,543.4899999999994,556.1999999999997,557.5699999999997,12.710000000000264
180,544.2499999999994,557.5699999999997,558.4399999999997,13.320000000000277
181,545.5199999999994,557.9799999999998,565.9399999999998,12.460000000000377
182,553.4199999999994,558.4399999999997,574.4299999999997,5.020000000000323
183,557.0799999999994,565.9399999999998,568.9999999999998,8.860000000000468
184,557.1799999999994,568.9999999999998,573.4699999999998,11.820000000000391
185,557.7199999999993,573.4699999999998,583.2199999999998,15.750000000000455
186,560.6299999999993,574.4299999999997,577.4899999999997,13.80000000000041
187,563.2099999999994,577.4899999999997,592.6599999999996,14.280000000000314
188,564.0299999999994,583.2199999999998,587.5099999999998,19.190000000000396
189,572.1899999999994,587.5099999999998,596.1099999999998,15.320000000000391
190,575.0499999999994,592.6599999999996,604.6399999999996,17.61000000000024
191,577.3499999999993,596.1099999999998,604.5599999999998,18.760000000000446
192,580.0199999999993,604.5599999999998,605.4299999999998,24.540000000000532
193,583.9499999999992,604.6399999999996,609.5999999999997,20.690000000000396
194,585.0699999999993,605.4299999999998,607.9699999999998,20.360000000000582
195,586.5899999999992,607.9699999999998,608.2899999999998,21.380000000000564
196,587.2999999999993,608.2899999999998,611.0499999999998,20.990000000000578
197,587.9199999999993,609.5999999999997,611.0999999999997,21.680000000000405
198,596.5899999999992,611.0499999999998,620.4999999999999,14.460000000000605
199,600.6299999999992,611.0999999999997,611.2699999999996,10.470000000000482
200,602.6499999999992,611.2699999999996,627.2399999999997,8.62000000000046
201,603.4199999999992,620.4999999999999,622.6999999999999,17.080000000000723
202,604.2999999999992,622.6999999999999,624.91,18.400000000000773
203,604.4799999999991,624.91,624.99,20.43000000000086
204,606.1899999999991,624.99,626.01,18.800000000000864
205,607.5499999999992,626.01,628.21,18.460000000000832
206,610.1299999999992,627.2399999999997,629.1699999999996,17.11000000000047
207,613.8999999999992,628.21,636.6600000000001,14.310000000000855
208,614.9499999999991,629.1699999999996,631.2299999999996,14.220000000000482
209,615.2699999999992,631.2299999999996,634.5799999999996,15.960000000000377
210,623.9399999999991,634.5799999999996,634.6399999999995,10.640000000000441
211,631.4999999999991,634.6399999999995,650.6299999999995,3.140000000000441
212,634.059999999999,636.6600000000001,636.7900000000001,2.600000000001046
213,635.3999999999991,636.7900000000001,639.5500000000001,1.3900000000010095
214,637.699999999999,639.5500000000001,640.6500000000001,1.850000000001046
215,640.219999999999,640.6500000000001,641.3600000000001,0.43000000000108685
216,640.439999999999,641.3600000000001,642.2300000000001,0.9200000000010959
217,641.959999999999,642.2300000000001,643.6100000000001,0.2700000000011187
218,644.179999999999,644.179999999999,658.359999999999,0
219,647.949999999999,650.6299999999995,650.7099999999996,2.6800000000005184
220,648.709999999999,650.7099999999996,651.2199999999996,2.0000000000005684
221,651.3999999999991,651.3999999999991,651.669999999999,0
222,655.439999999999,655.439999999999,658.049999999999,0
223,668.799999999999,668.799999999999,676.309999999999,0
224,669.559999999999,669.559999999999,669.839999999999,0
225,672.1399999999991,672.1399999999991,674.8999999999991,0
226,677.439999999999,677.439999999999,678.8999999999991,0
